"Carimbo de data/hora","1) O computador que você utiliza para trabalhar é um desktop ou notebook?","2) Seu computador esta conectado no roteador usando Wi-Fi ou Ethernet (cabo par-trançado)?","3) Você utiliza estabilizador para eliminar ruídos/oscilações na rede elétrica?","4) Você utiliza nobreak para manter seu computador funcionando quando acaba energia elétrica?","5) Você utiliza nobreak para manter seu roteador funcionando quando acaba energia elétrica?","6) Quando sua internet cai, você utiliza seu celular para continuar acessando a internet?","7) Você possui um segundo plano de dados (um segundo chip) para usar caso sua internet dê problema?","8) Você possui um segundo link de internet para usar quando sua internet dá problema?","9) Quando sua internet cai, o que você faz?","10) Pensando num período de 3 (três) meses de trabalho, qual a frequência das quedas de energia elétrica onde você mora?","11) Pensando num período de 3 (três) meses de trabalho, qual a frequência das interrupções do serviço de banda larga onde você mora?","12) Qual a modalidade do plano de dados de celular que você utiliza?","13) A sua banda larga chega até sua casa por cabo ou fibra óptica?"
"2023/04/20 2:22:37 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Fico sem conexão até a internet voltar","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 2:23:14 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 2:28:04 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Nunca","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 2:29:33 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 2:38:21 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 2:46:34 PM GMT-3","Desktop","Ethernet","Não","Não","Não","Não","Não","Não","Fico sem conexão até a internet voltar","Raramente","Nunca","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 3:02:34 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Frequentemente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 3:35:11 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Não","Não","Não","Fico sem conexão até a internet voltar","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 3:48:36 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Nunca","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 4:05:28 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Cabo"
"2023/04/20 4:08:41 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu segundo plano de dados (segundo chip)","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 5:35:16 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Nunca","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 6:54:50 PM GMT-3","Desktop","Ethernet","Não","Sim","Sim","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/20 7:52:45 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 8:48:32 PM GMT-3","Desktop","Ethernet","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 8:53:43 PM GMT-3","Notebook","Ethernet","Sim","Não","Não","Sim","Sim","Não","Utilizo meu celular","Raramente","Nunca","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 8:53:48 PM GMT-3","Notebook","Wi-Fi","Sim","Não","Não","Sim","Sim","Não","Utilizo meu celular","Raramente","Raramente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/20 10:12:31 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Sim","Utilizo meu segundo link de internet","Raramente","Frequentemente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/21 12:06:34 PM GMT-3","Notebook","Wi-Fi","Sim","Não","Não","Sim","Sim","Não","Utilizo meu celular","Nunca","Nunca","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/24 8:53:26 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Sim","Não","Utilizo meu segundo plano de dados (segundo chip)","Raramente","Raramente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/24 10:05:41 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Cabo"
"2023/04/24 10:43:29 AM GMT-3","Notebook","Ethernet","Não","Não","Não","Não","Não","Não","Fico sem conexão até a internet voltar","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/24 5:11:04 PM GMT-3","Notebook","Wi-Fi","Sim","Não","Não","Sim","Sim","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/26 1:25:00 PM GMT-3","Notebook","Wi-Fi","Sim","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/26 1:32:54 PM GMT-3","Desktop","Ethernet","Não","Não","Não","Sim","Sim","Não","Utilizo meu celular","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/26 2:02:53 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/26 2:09:54 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Não","Não","Não","Fico sem conexão até a internet voltar","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/26 5:45:58 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Frequentemente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/26 6:13:05 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/26 7:22:30 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/26 9:39:33 PM GMT-3","Notebook","Wi-Fi","Sim","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/27 1:05:11 PM GMT-3","Notebook","Ethernet","Sim","Não","Não","Não","Não","Sim","Utilizo meu segundo link de internet","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/27 1:43:13 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
